,entity,event
37_6ecbplus_3,2,5
37_7ecbplus_2,2,5
45_12ecbplus_0,2,5
45_3ecbplus_2,2,5
45_9ecbplus_0,2,5
4_2ecb_0,2,5
13_9ecb_0,2,5
26_11ecb_1,2,5
26_13ecb_0,2,5
19_9ecbplus_0,2,5
22_11ecbplus_3,2,5
29_1ecbplus_4,2,5
18_14ecb_0,2,4
18_6ecb_19,2,4
21_10ecb_1,2,4
12_2ecbplus_0,2,4
18_3ecbplus_0,2,4
21_1ecbplus_0,2,4
21_7ecbplus_0,2,4
35_6ecbplus_0,2,4
35_6ecbplus_3,2,4
38_2ecb_0,2,4
40_1ecb_0,2,4
44_2ecb_0,2,4
36_1ecbplus_2,2,4
36_8ecbplus_2,2,4
37_4ecbplus_0,2,4
41_6ecbplus_0,2,4
4_9ecb_0,2,4
19_4ecb_11,2,4
20_2ecb_2,2,4
22_5ecb_1,2,4
25_3ecb_3,2,4
26_8ecb_0,2,4
26_9ecb_0,2,4
29_7ecb_6,2,4
30_3ecb_1,2,4
30_3ecb_3,2,4
1_16ecbplus_0,2,4
6_11ecbplus_2,2,4
6_4ecbplus_0,2,4
8_5ecbplus_2,2,4
14_9ecbplus_2,2,4
19_11ecbplus_0,2,4
22_10ecbplus_4,2,4
26_11ecbplus_4,2,4
26_2ecbplus_4,2,4
26_3ecbplus_5,2,4
28_10ecbplus_2,2,4
28_5ecbplus_4,2,4
30_2ecbplus_3,2,4
32_2ecbplus_0,2,4
32_9ecbplus_0,2,4
34_10ecb_0,2,3
34_11ecb_0,2,3
34_13ecb_1,2,3
35_1ecb_2,2,3
2_1ecbplus_2,2,3
2_2ecbplus_3,2,3
2_5ecbplus_0,2,3
12_11ecbplus_2,2,3
12_3ecbplus_0,2,3
18_9ecbplus_0,2,3
23_3ecbplus_5,2,3
23_4ecbplus_5,2,3
23_6ecbplus_5,2,3
23_8ecbplus_9,2,3
35_5ecbplus_2,2,3
35_6ecbplus_4,2,3
36_3ecb_1,2,3
37_3ecb_4,2,3
38_1ecb_4,2,3
38_1ecb_1,2,3
43_4ecb_0,2,3
37_12ecbplus_0,2,3
38_7ecbplus_2,2,3
40_5ecbplus_2,2,3
41_10ecbplus_0,2,3
42_10ecbplus_0,2,3
43_13ecbplus_0,2,3
43_15ecbplus_16,2,3
43_4ecbplus_0,2,3
43_5ecbplus_0,2,3
45_11ecbplus_0,2,3
45_3ecbplus_0,2,3
45_6ecbplus_0,2,3
1_14ecb_5,2,3
1_19ecb_1,2,3
1_4ecb_1,2,3
1_7ecb_0,2,3
10_6ecb_0,2,3
11_8ecb_0,2,3
13_19ecb_0,2,3
14_10ecb_0,2,3
14_3ecb_0,2,3
20_3ecb_1,2,3
22_5ecb_0,2,3
22_9ecb_0,2,3
25_1ecb_1,2,3
26_6ecb_1,2,3
27_14ecb_0,2,3
27_8ecb_0,2,3
29_2ecb_0,2,3
31_14ecb_0,2,3
32_3ecb_0,2,3
1_11ecbplus_0,2,3
1_19ecbplus_0,2,3
3_1ecbplus_0,2,3
3_5ecbplus_5,2,3
4_10ecbplus_3,2,3
4_9ecbplus_4,2,3
6_10ecbplus_0,2,3
6_3ecbplus_0,2,3
6_8ecbplus_3,2,3
7_10ecbplus_0,2,3
7_11ecbplus_0,2,3
7_2ecbplus_0,2,3
7_5ecbplus_0,2,3
7_8ecbplus_3,2,3
8_4ecbplus_0,2,3
10_15ecbplus_1,2,3
10_18ecbplus_2,2,3
11_1ecbplus_0,2,3
11_2ecbplus_0,2,3
11_5ecbplus_6,2,3
13_10ecbplus_2,2,3
14_2ecbplus_2,2,3
14_3ecbplus_1,2,3
20_1ecbplus_3,2,3
22_2ecbplus_0,2,3
22_8ecbplus_0,2,3
25_15ecbplus_0,2,3
27_4ecbplus_0,2,3
28_11ecbplus_4,2,3
28_6ecbplus_5,2,3
28_8ecbplus_0,2,3
29_10ecbplus_0,2,3
29_11ecbplus_5,2,3
29_11ecbplus_0,2,3
29_3ecbplus_2,2,3
29_8ecbplus_3,2,3
30_3ecbplus_2,2,3
31_7ecbplus_0,2,3
32_3ecbplus_0,2,3
32_5ecbplus_0,2,3
33_10ecbplus_0,2,3
33_1ecbplus_2,2,3
33_4ecbplus_0,2,3
33_9ecbplus_0,2,3
5_13ecb_0,2,2
12_19ecb_0,2,2
21_5ecb_1,2,2
21_6ecb_3,2,2
23_2ecb_0,2,2
23_3ecb_0,2,2
23_4ecb_0,2,2
34_12ecb_2,2,2
34_6ecb_0,2,2
2_11ecbplus_1,2,2
5_1ecbplus_0,2,2
5_4ecbplus_0,2,2
5_8ecbplus_0,2,2
12_10ecbplus_0,2,2
12_1ecbplus_1,2,2
12_2ecbplus_3,2,2
21_12ecbplus_0,2,2
23_2ecbplus_14,2,2
23_3ecbplus_9,2,2
23_3ecbplus_1,2,2
23_4ecbplus_2,2,2
23_4ecbplus_8,2,2
23_5ecbplus_3,2,2
23_6ecbplus_9,2,2
23_6ecbplus_2,2,2
23_8ecbplus_2,2,2
23_9ecbplus_2,2,2
34_5ecbplus_3,2,2
34_6ecbplus_0,2,2
34_6ecbplus_2,2,2
36_2ecb_1,2,2
36_4ecb_1,2,2
38_2ecb_1,2,2
39_7ecb_0,2,2
40_5ecb_2,2,2
41_5ecb_4,2,2
41_7ecb_10,2,2
43_1ecb_9,2,2
43_2ecb_2,2,2
44_5ecb_7,2,2
45_5ecb_0,2,2
36_3ecbplus_0,2,2
38_1ecbplus_3,2,2
38_2ecbplus_4,2,2
38_5ecbplus_4,2,2
38_9ecbplus_3,2,2
39_6ecbplus_0,2,2
40_1ecbplus_0,2,2
40_2ecbplus_0,2,2
40_3ecbplus_0,2,2
40_5ecbplus_0,2,2
40_7ecbplus_0,2,2
40_8ecbplus_2,2,2
41_3ecbplus_2,2,2
41_5ecbplus_0,2,2
42_6ecbplus_2,2,2
42_7ecbplus_0,2,2
42_9ecbplus_0,2,2
43_2ecbplus_0,2,2
43_9ecbplus_5,2,2
44_11ecbplus_3,2,2
44_2ecbplus_0,2,2
44_3ecbplus_0,2,2
44_5ecbplus_0,2,2
44_6ecbplus_0,2,2
44_8ecbplus_1,2,2
45_10ecbplus_0,2,2
45_1ecbplus_1,2,2
1_13ecb_1,2,2
1_9ecb_3,2,2
3_3ecb_0,2,2
6_1ecb_0,2,2
11_2ecb_0,2,2
11_4ecb_0,2,2
13_21ecb_0,2,2
13_7ecb_0,2,2
14_1ecb_0,2,2
14_9ecb_0,2,2
20_3ecb_0,2,2
20_5ecb_4,2,2
24_11ecb_0,2,2
24_5ecb_0,2,2
25_2ecb_1,2,2
25_4ecb_3,2,2
25_6ecb_0,2,2
26_8ecb_1,2,2
29_8ecb_3,2,2
30_10ecb_2,2,2
30_10ecb_1,2,2
30_12ecb_2,2,2
30_4ecb_2,2,2
31_5ecb_1,2,2
31_5ecb_3,2,2
32_7ecb_0,2,2
1_15ecbplus_0,2,2
1_1ecbplus_0,2,2
1_20ecbplus_0,2,2
1_3ecbplus_0,2,2
1_3ecbplus_2,2,2
1_4ecbplus_0,2,2
1_9ecbplus_0,2,2
4_11ecbplus_2,2,2
4_3ecbplus_0,2,2
4_4ecbplus_2,2,2
7_3ecbplus_0,2,2
8_10ecbplus_3,2,2
8_1ecbplus_0,2,2
8_7ecbplus_0,2,2
9_10ecbplus_0,2,2
9_8ecbplus_0,2,2
13_8ecbplus_3,2,2
14_1ecbplus_2,2,2
14_5ecbplus_2,2,2
14_7ecbplus_3,2,2
16_4ecbplus_4,2,2
19_10ecbplus_0,2,2
19_7ecbplus_0,2,2
19_7ecbplus_2,2,2
20_2ecbplus_1,2,2
22_12ecbplus_8,2,2
22_14ecbplus_8,2,2
22_7ecbplus_0,2,2
24_11ecbplus_2,2,2
24_11ecbplus_1,2,2
24_4ecbplus_2,2,2
24_6ecbplus_0,2,2
25_8ecbplus_1,2,2
26_9ecbplus_4,2,2
28_12ecbplus_5,2,2
28_1ecbplus_0,2,2
29_11ecbplus_3,2,2
29_13ecbplus_0,2,2
29_13ecbplus_3,2,2
30_11ecbplus_4,2,2
30_5ecbplus_4,2,2
30_7ecbplus_5,2,2
31_11ecbplus_0,2,2
31_6ecbplus_0,2,2
32_11ecbplus_3,2,2
32_2ecbplus_2,2,2
32_6ecbplus_2,2,2
32_7ecbplus_0,2,2
32_8ecbplus_5,2,2
32_8ecbplus_1,2,2
33_5ecbplus_2,2,2
33_8ecbplus_5,2,2
33_8ecbplus_0,2,2
5_12ecb_2,2,1
34_13ecb_0,2,1
34_2ecb_0,2,1
34_4ecb_0,2,1
34_8ecb_0,2,1
34_9ecb_0,2,1
35_10ecb_2,2,1
2_5ecbplus_3,2,1
5_10ecbplus_0,2,1
5_10ecbplus_1,2,1
12_4ecbplus_0,2,1
18_6ecbplus_0,2,1
21_7ecbplus_4,2,1
23_10ecbplus_1,2,1
23_1ecbplus_3,2,1
23_2ecbplus_15,2,1
34_10ecbplus_0,2,1
34_4ecbplus_0,2,1
34_5ecbplus_0,2,1
34_9ecbplus_0,2,1
36_1ecb_0,2,1
36_7ecb_1,2,1
39_10ecb_3,2,1
39_11ecb_0,2,1
39_9ecb_0,2,1
40_5ecb_3,2,1
41_6ecb_4,2,1
41_8ecb_1,2,1
42_8ecb_0,2,1
43_2ecb_1,2,1
43_3ecb_2,2,1
44_3ecb_3,2,1
44_6ecb_6,2,1
38_10ecbplus_4,2,1
39_10ecbplus_0,2,1
39_1ecbplus_1,2,1
39_5ecbplus_0,2,1
39_7ecbplus_0,2,1
40_4ecbplus_0,2,1
40_4ecbplus_1,2,1
40_4ecbplus_3,2,1
40_6ecbplus_0,2,1
40_6ecbplus_2,2,1
41_11ecbplus_0,2,1
41_3ecbplus_1,2,1
41_9ecbplus_2,2,1
43_10ecbplus_0,2,1
43_13ecbplus_3,2,1
43_15ecbplus_0,2,1
43_1ecbplus_5,2,1
43_6ecbplus_0,2,1
44_10ecbplus_0,2,1
1_15ecb_0,2,1
1_5ecb_3,2,1
1_7ecb_2,2,1
1_7ecb_1,2,1
3_2ecb_0,2,1
4_5ecb_0,2,1
6_2ecb_0,2,1
6_7ecb_2,2,1
6_9ecb_0,2,1
9_10ecb_0,2,1
9_5ecb_0,2,1
11_10ecb_0,2,1
24_9ecb_1,2,1
25_10ecb_1,2,1
25_15ecb_1,2,1
25_3ecb_6,2,1
27_10ecb_0,2,1
27_14ecb_13,2,1
30_11ecb_6,2,1
30_12ecb_4,2,1
30_13ecb_1,2,1
30_1ecb_7,2,1
30_2ecb_2,2,1
30_2ecb_9,2,1
33_3ecb_5,2,1
1_17ecbplus_3,2,1
1_21ecbplus_0,2,1
1_2ecbplus_1,2,1
1_5ecbplus_0,2,1
1_6ecbplus_2,2,1
3_3ecbplus_4,2,1
3_4ecbplus_0,2,1
3_6ecbplus_2,2,1
3_7ecbplus_0,2,1
6_8ecbplus_0,2,1
8_10ecbplus_0,2,1
10_13ecbplus_0,2,1
10_6ecbplus_4,2,1
11_4ecbplus_0,2,1
19_1ecbplus_0,2,1
24_4ecbplus_4,2,1
24_5ecbplus_0,2,1
26_5ecbplus_0,2,1
27_10ecbplus_1,2,1
27_11ecbplus_0,2,1
27_1ecbplus_1,2,1
27_2ecbplus_0,2,1
27_7ecbplus_0,2,1
27_8ecbplus_0,2,1
27_9ecbplus_0,2,1
27_9ecbplus_1,2,1
31_1ecbplus_1,2,1
31_8ecbplus_10,2,1
32_6ecbplus_3,2,1
36_10ecbplus_10,2,0
39_10ecbplus_2,2,0
39_3ecbplus_0,2,0
24_12ecb_0,2,0
10_1ecbplus_1,2,0
8_11ecbplus_2,1,8
2_1ecbplus_3,1,7
37_6ecbplus_2,1,7
35_1ecb_1,1,6
37_2ecb_1,1,6
44_10ecbplus_3,1,6
19_9ecb_2,1,6
21_9ecbplus_0,1,5
19_2ecbplus_1,1,5
18_16ecb_0,1,4
18_6ecb_0,1,4
35_3ecb_1,1,4
37_3ecb_3,1,4
37_4ecb_1,1,4
37_10ecbplus_0,1,4
45_8ecbplus_0,1,4
1_17ecb_0,1,4
13_22ecb_0,1,4
6_7ecbplus_0,1,4
16_3ecbplus_4,1,4
19_11ecbplus_12,1,4
22_3ecbplus_0,1,4
24_1ecbplus_2,1,4
21_4ecb_1,1,3
35_10ecb_1,1,3
35_4ecb_2,1,3
35_5ecb_1,1,3
35_6ecb_1,1,3
35_7ecb_3,1,3
35_8ecb_1,1,3
2_8ecbplus_0,1,3
12_10ecbplus_2,1,3
12_11ecbplus_0,1,3
18_1ecbplus_0,1,3
21_10ecbplus_5,1,3
21_11ecbplus_0,1,3
21_2ecbplus_0,1,3
21_4ecbplus_0,1,3
23_11ecbplus_3,1,3
35_11ecbplus_0,1,3
35_1ecbplus_0,1,3
35_2ecbplus_0,1,3
35_3ecbplus_0,1,3
35_7ecbplus_0,1,3
44_2ecb_10,1,3
36_6ecbplus_0,1,3
36_9ecbplus_5,1,3
36_9ecbplus_0,1,3
37_14ecbplus_0,1,3
37_1ecbplus_0,1,3
37_5ecbplus_0,1,3
37_9ecbplus_0,1,3
41_5ecbplus_6,1,3
41_7ecbplus_3,1,3
43_3ecbplus_0,1,3
45_2ecbplus_0,1,3
45_4ecbplus_0,1,3
1_9ecb_4,1,3
14_2ecb_0,1,3
19_5ecb_3,1,3
25_11ecb_1,1,3
29_8ecb_0,1,3
30_2ecb_10,1,3
30_8ecb_0,1,3
30_8ecb_1,1,3
32_6ecb_0,1,3
1_12ecbplus_0,1,3
1_7ecbplus_0,1,3
1_8ecbplus_0,1,3
1_8ecbplus_3,1,3
4_1ecbplus_6,1,3
6_9ecbplus_2,1,3
8_5ecbplus_0,1,3
13_5ecbplus_0,1,3
14_11ecbplus_3,1,3
14_2ecbplus_1,1,3
14_3ecbplus_2,1,3
14_9ecbplus_0,1,3
19_9ecbplus_1,1,3
22_12ecbplus_0,1,3
22_14ecbplus_1,1,3
26_1ecbplus_0,1,3
28_11ecbplus_2,1,3
29_13ecbplus_2,1,3
30_3ecbplus_0,1,3
30_5ecbplus_0,1,3
31_10ecbplus_0,1,3
31_2ecbplus_0,1,3
33_1ecbplus_0,1,3
33_5ecbplus_1,1,3
33_8ecbplus_4,1,3
33_9ecbplus_3,1,3
2_1ecb_0,1,2
34_12ecb_3,1,2
2_2ecbplus_0,1,2
2_4ecbplus_3,1,2
2_6ecbplus_0,1,2
2_9ecbplus_0,1,2
5_6ecbplus_10,1,2
5_8ecbplus_1,1,2
12_6ecbplus_0,1,2
18_11ecbplus_0,1,2
23_10ecbplus_3,1,2
23_11ecbplus_0,1,2
23_11ecbplus_2,1,2
23_1ecbplus_0,1,2
23_1ecbplus_2,1,2
23_2ecbplus_0,1,2
23_3ecbplus_0,1,2
23_4ecbplus_1,1,2
23_5ecbplus_2,1,2
23_7ecbplus_6,1,2
23_9ecbplus_0,1,2
34_1ecbplus_3,1,2
35_11ecbplus_3,1,2
35_5ecbplus_0,1,2
35_8ecbplus_0,1,2
40_9ecb_0,1,2
41_6ecb_2,1,2
43_5ecb_6,1,2
44_2ecb_1,1,2
44_4ecb_1,1,2
44_6ecb_2,1,2
37_11ecbplus_0,1,2
37_14ecbplus_3,1,2
37_7ecbplus_1,1,2
37_7ecbplus_3,1,2
37_8ecbplus_0,1,2
38_11ecbplus_2,1,2
38_2ecbplus_0,1,2
38_3ecbplus_2,1,2
38_7ecbplus_1,1,2
38_8ecbplus_2,1,2
38_8ecbplus_3,1,2
40_9ecbplus_0,1,2
41_2ecbplus_0,1,2
41_6ecbplus_8,1,2
41_9ecbplus_5,1,2
42_2ecbplus_0,1,2
42_3ecbplus_0,1,2
42_3ecbplus_1,1,2
42_4ecbplus_0,1,2
44_12ecbplus_1,1,2
44_15ecbplus_0,1,2
44_7ecbplus_0,1,2
45_5ecbplus_4,1,2
1_14ecb_0,1,2
4_4ecb_0,1,2
6_4ecb_0,1,2
7_3ecb_0,1,2
10_1ecb_0,1,2
11_6ecb_0,1,2
13_5ecb_0,1,2
14_4ecb_0,1,2
14_7ecb_0,1,2
14_8ecb_0,1,2
24_10ecb_0,1,2
24_8ecb_0,1,2
25_8ecb_2,1,2
26_11ecb_0,1,2
28_11ecb_0,1,2
29_10ecb_2,1,2
31_10ecb_1,1,2
31_1ecb_1,1,2
31_2ecb_2,1,2
32_3ecb_7,1,2
33_1ecb_2,1,2
1_17ecbplus_0,1,2
1_18ecbplus_0,1,2
1_1ecbplus_4,1,2
1_6ecbplus_0,1,2
3_9ecbplus_3,1,2
4_11ecbplus_0,1,2
4_6ecbplus_1,1,2
4_8ecbplus_0,1,2
6_5ecbplus_0,1,2
6_6ecbplus_0,1,2
6_9ecbplus_0,1,2
7_6ecbplus_0,1,2
7_7ecbplus_1,1,2
7_7ecbplus_2,1,2
8_10ecbplus_2,1,2
8_2ecbplus_0,1,2
8_3ecbplus_0,1,2
9_1ecbplus_1,1,2
10_18ecbplus_0,1,2
10_1ecbplus_0,1,2
13_12ecbplus_2,1,2
13_8ecbplus_0,1,2
14_10ecbplus_2,1,2
14_11ecbplus_2,1,2
14_1ecbplus_1,1,2
14_4ecbplus_1,1,2
16_10ecbplus_0,1,2
16_2ecbplus_0,1,2
20_11ecbplus_1,1,2
20_11ecbplus_0,1,2
20_1ecbplus_1,1,2
20_5ecbplus_1,1,2
20_6ecbplus_0,1,2
20_8ecbplus_8,1,2
22_11ecbplus_1,1,2
22_13ecbplus_0,1,2
22_8ecbplus_4,1,2
24_1ecbplus_0,1,2
24_7ecbplus_0,1,2
24_8ecbplus_0,1,2
25_11ecbplus_0,1,2
25_14ecbplus_2,1,2
25_14ecbplus_0,1,2
25_3ecbplus_1,1,2
25_3ecbplus_3,1,2
25_5ecbplus_0,1,2
25_6ecbplus_1,1,2
27_4ecbplus_3,1,2
28_4ecbplus_0,1,2
28_7ecbplus_0,1,2
29_7ecbplus_5,1,2
30_10ecbplus_0,1,2
30_11ecbplus_0,1,2
30_1ecbplus_0,1,2
30_8ecbplus_0,1,2
31_3ecbplus_0,1,2
31_7ecbplus_3,1,2
31_9ecbplus_0,1,2
33_11ecbplus_0,1,2
33_5ecbplus_0,1,2
33_6ecbplus_0,1,2
5_1ecb_0,1,1
5_3ecb_0,1,1
5_6ecb_2,1,1
5_7ecb_0,1,1
5_9ecb_0,1,1
12_10ecb_0,1,1
2_10ecbplus_3,1,1
5_2ecbplus_0,1,1
21_3ecbplus_0,1,1
21_6ecbplus_7,1,1
23_1ecbplus_6,1,1
23_5ecbplus_1,1,1
23_6ecbplus_0,1,1
23_7ecbplus_2,1,1
23_8ecbplus_0,1,1
34_11ecbplus_0,1,1
34_12ecbplus_0,1,1
34_2ecbplus_0,1,1
34_7ecbplus_0,1,1
34_8ecbplus_1,1,1
36_3ecb_16,1,1
36_7ecb_0,1,1
36_8ecb_0,1,1
36_9ecb_0,1,1
37_4ecb_4,1,1
41_4ecb_20,1,1
41_8ecb_14,1,1
41_9ecb_17,1,1
43_1ecb_12,1,1
43_3ecb_5,1,1
43_3ecb_6,1,1
43_3ecb_12,1,1
43_8ecb_8,1,1
43_8ecb_0,1,1
44_2ecb_7,1,1
44_2ecb_17,1,1
44_3ecb_7,1,1
44_5ecb_2,1,1
44_5ecb_10,1,1
44_7ecb_3,1,1
44_7ecb_2,1,1
39_11ecbplus_0,1,1
39_4ecbplus_0,1,1
40_11ecbplus_9,1,1
40_11ecbplus_2,1,1
41_1ecbplus_0,1,1
41_4ecbplus_1,1,1
41_7ecbplus_0,1,1
41_8ecbplus_0,1,1
41_9ecbplus_0,1,1
42_8ecbplus_0,1,1
43_11ecbplus_1,1,1
43_12ecbplus_0,1,1
43_8ecbplus_1,1,1
44_14ecbplus_1,1,1
44_4ecbplus_0,1,1
1_12ecb_1,1,1
1_17ecb_1,1,1
1_19ecb_0,1,1
4_11ecb_0,1,1
4_13ecb_1,1,1
6_8ecb_1,1,1
9_1ecb_0,1,1
10_5ecb_2,1,1
11_7ecb_0,1,1
13_10ecb_0,1,1
22_8ecb_0,1,1
25_13ecb_0,1,1
26_3ecb_1,1,1
28_1ecb_2,1,1
30_14ecb_2,1,1
30_1ecb_2,1,1
30_2ecb_3,1,1
30_2ecb_8,1,1
30_7ecb_2,1,1
32_2ecb_7,1,1
33_1ecb_1,1,1
33_3ecb_4,1,1
1_10ecbplus_0,1,1
1_18ecbplus_2,1,1
3_10ecbplus_0,1,1
4_1ecbplus_1,1,1
7_1ecbplus_0,1,1
7_8ecbplus_0,1,1
7_9ecbplus_0,1,1
10_18ecbplus_3,1,1
11_3ecbplus_0,1,1
14_6ecbplus_2,1,1
14_8ecbplus_0,1,1
19_10ecbplus_3,1,1
20_3ecbplus_10,1,1
20_4ecbplus_0,1,1
22_4ecbplus_0,1,1
24_10ecbplus_0,1,1
24_2ecbplus_0,1,1
24_3ecbplus_0,1,1
24_9ecbplus_0,1,1
26_10ecbplus_0,1,1
26_11ecbplus_0,1,1
26_2ecbplus_1,1,1
26_3ecbplus_0,1,1
26_7ecbplus_0,1,1
26_8ecbplus_0,1,1
26_9ecbplus_0,1,1
29_6ecbplus_6,1,1
30_2ecbplus_1,1,1
30_4ecbplus_0,1,1
33_7ecbplus_1,1,1
5_2ecbplus_2,1,0
3_9ecbplus_1,1,0
10_15ecbplus_0,1,0
34_11ecb_1,0,5
18_10ecb_0,0,4
35_9ecb_0,0,4
36_1ecbplus_0,0,4
44_6ecbplus_4,0,4
13_20ecb_0,0,4
28_12ecbplus_2,0,4
30_1ecbplus_1,0,4
35_10ecb_0,0,3
35_2ecb_9,0,3
35_6ecb_0,0,3
35_7ecb_0,0,3
35_8ecb_0,0,3
2_10ecbplus_2,0,3
2_7ecbplus_0,0,3
18_7ecbplus_0,0,3
35_10ecbplus_0,0,3
35_4ecbplus_0,0,3
36_11ecbplus_0,0,3
30_2ecb_12,0,3
31_11ecb_2,0,3
31_5ecb_0,0,3
19_6ecbplus_11,0,3
20_3ecbplus_2,0,3
22_10ecbplus_0,0,3
34_16ecb_2,0,2
35_2ecb_0,0,2
35_3ecb_0,0,2
2_10ecbplus_0,0,2
2_1ecbplus_0,0,2
2_3ecbplus_0,0,2
2_4ecbplus_0,0,2
2_5ecbplus_2,0,2
12_7ecbplus_0,0,2
18_4ecbplus_0,0,2
18_8ecbplus_0,0,2
21_10ecbplus_0,0,2
21_14ecbplus_0,0,2
23_10ecbplus_0,0,2
36_2ecb_0,0,2
37_2ecb_2,0,2
39_9ecb_2,0,2
43_7ecb_12,0,2
44_5ecb_4,0,2
36_2ecbplus_0,0,2
37_13ecbplus_2,0,2
37_2ecbplus_0,0,2
37_6ecbplus_1,0,2
37_8ecbplus_3,0,2
37_8ecbplus_2,0,2
38_10ecbplus_0,0,2
38_11ecbplus_0,0,2
38_11ecbplus_4,0,2
38_1ecbplus_0,0,2
38_3ecbplus_0,0,2
38_5ecbplus_0,0,2
38_6ecbplus_0,0,2
38_8ecbplus_0,0,2
38_9ecbplus_0,0,2
13_16ecb_0,0,2
13_17ecb_0,0,2
28_11ecb_4,0,2
29_7ecb_7,0,2
30_10ecb_5,0,2
31_12ecb_5,0,2
31_5ecb_6,0,2
31_6ecb_4,0,2
31_7ecb_0,0,2
6_11ecbplus_0,0,2
6_1ecbplus_0,0,2
9_11ecbplus_0,0,2
13_11ecbplus_3,0,2
13_13ecbplus_0,0,2
13_14ecbplus_25,0,2
13_4ecbplus_3,0,2
13_7ecbplus_0,0,2
14_6ecbplus_1,0,2
16_5ecbplus_5,0,2
16_8ecbplus_0,0,2
20_9ecbplus_0,0,2
22_2ecbplus_4,0,2
22_5ecbplus_0,0,2
25_13ecbplus_0,0,2
25_9ecbplus_0,0,2
28_2ecbplus_0,0,2
28_3ecbplus_0,0,2
29_3ecbplus_4,0,2
30_11ecbplus_3,0,2
30_13ecbplus_0,0,2
32_8ecbplus_0,0,2
44_2ecbplus_4,0,2
44_8ecbplus_4,0,2
29_2ecbplus_3,0,2
35_2ecb_17,0,1
35_5ecb_0,0,1
5_7ecbplus_1,0,1
23_2ecbplus_3,0,1
43_1ecb_19,0,1
43_1ecb_30,0,1
43_3ecb_4,0,1
43_5ecb_12,0,1
44_4ecb_3,0,1
44_6ecb_7,0,1
36_10ecbplus_0,0,1
37_11ecbplus_1,0,1
38_4ecbplus_0,0,1
38_4ecbplus_4,0,1
38_4ecbplus_6,0,1
41_4ecbplus_0,0,1
43_1ecbplus_0,0,1
44_11ecbplus_0,0,1
24_9ecb_0,0,1
26_7ecb_1,0,1
29_11ecb_4,0,1
33_3ecb_47,0,1
33_3ecb_49,0,1
33_5ecb_1,0,1
1_21ecbplus_4,0,1
3_2ecbplus_0,0,1
3_3ecbplus_0,0,1
3_6ecbplus_0,0,1
3_8ecbplus_0,0,1
4_2ecbplus_0,0,1
4_5ecbplus_0,0,1
13_11ecbplus_0,0,1
13_4ecbplus_22,0,1
13_6ecbplus_0,0,1
13_9ecbplus_0,0,1
14_10ecbplus_0,0,1
14_11ecbplus_0,0,1
14_4ecbplus_0,0,1
14_7ecbplus_0,0,1
16_11ecbplus_2,0,1
20_7ecbplus_2,0,1
25_7ecbplus_0,0,1
26_4ecbplus_1,0,1
28_10ecbplus_0,0,1
28_11ecbplus_0,0,1
28_9ecbplus_0,0,1
30_6ecbplus_0,0,1
32_11ecbplus_2,0,1
32_2ecbplus_4,0,1
38_4ecb_0,0,1
39_5ecb_2,0,1
41_6ecb_3,0,1
30_3ecb_6,0,1
3_11ecbplus_1,0,1
13_4ecbplus_5,0,1
42_10ecbplus_2,0,0
43_6ecb_4,0,0
44_1ecb_21,0,0
44_1ecb_12,0,0
44_1ecb_6,0,0
44_3ecb_14,0,0
45_12ecbplus_2,0,0
30_3ecb_7,0,0
24_2ecbplus_6,0,0
